corp_name,year,stock_code,당기순이익,매출액,부채총계,영업이익,자본총계,자산총계
HC홈센타,2024,060560,3567585229.0,201819616157.5,171719580489.0,10177419194.0,179801685866.0,351521266355.0
HDC,2022,012630,39933079323.5,2552756261798.5,3576651539736.5,97355861139.0,3449206271507.0,7025857811243.5
HDC,2023,012630,143831635400.5,2987466362650.5,3477874803197.5,179121311670.0,3556858087220.5,7034732890418.0
HDC,2024,012630,168950621222.0,3135906052369.0,3791273489902.0,196629551353.0,3616931070814.5,7408204560716.5
HDC랩스,2022,039570,12611183734.5,610731077048.0,122217032938.0,12330996996.0,261079565288.5,383296598226.5
HDC랩스,2023,039570,13299730453.0,606281889297.0,124810684648.0,10525781775.0,259220200529.0,384030885177.0
HDC랩스,2024,039570,14739584667.5,628807776981.0,147879402224.5,6425450627.0,263306816358.0,411186218582.5
HDC현대EP,2022,089470,12927610189.0,946606981114.0,261417190018.0,16403825915.0,288581397754.0,549998587772.0
HDC현대EP,2023,089470,10854827963.0,915945477952.5,262389316102.0,29068586418.0,288884929449.5,551274245551.5
HDC현대EP,2024,089470,6441028911.0,899935647770.0,272276752662.5,28439584238.0,290542922675.5,562819675338.0
HDC현대산업개발,2022,294870,43403913877.5,3290920855873.5,4266468507154.5,113209357974.0,2938617029513.5,7205085536668.0
HDC현대산업개발,2023,294870,172448351968.5,4176738379625.0,3846634636384.0,192321064278.0,3044895284679.5,6891529921063.5
HDC현대산업개발,2024,294870,157247543380.5,4233803036828.5,4145431904601.0,184665821869.0,3152208191998.5,7297640096599.5
HD한국조선해양,2022,009540,40146915000.0,8741260328000.0,8938513737500.0,-186922803000.0,11718309265500.0,20656823003000.0
HD한국조선해양,2023,009540,223193624000.0,10783056613000.0,10058558435000.0,135338762000.0,11949850636500.0,22008409071500.0
HD한국조선해양,2024,009540,810089044000.0,13027686844500.0,11470023785500.0,725674387000.0,12918173630500.0,24388197416000.0
HD현대,2022,267250,1227124330500.0,30598448980500.0,22717590617500.0,1851829039500.0,14405625445500.0,37123216063000.0
HD현대,2023,267250,779459121000.0,30957202270500.0,23971741060500.0,1259600287500.0,14580806369000.0,38552547429500.0
HD현대,2024,267250,1110815232000.0,34101632754000.0,25310624223000.0,1665757097000.0,16139818869000.0,41450443092000.0
HD현대건설기계,2022,267270,103283080000.0,3043410407500.0,1444851195000.0,157840794500.0,1488851337000.0,2933702532500.0
HD현대건설기계,2023,267270,118163881500.0,3199768881500.0,1245798038000.0,235999971500.0,1574564965500.0,2820363003500.0
HD현대건설기계,2024,267270,73626086000.0,2687105593000.0,1191440653500.0,130036020500.0,1571323407000.0,2762764060500.0
HD현대마린솔루션,2024,443060,216575434519.5,1523389968825.5,329609374017.0,255961074220.5,762957462763.0,1092566836780.0
HD현대마린엔진,2022,071970,15000819859.0,177122223971.0,213123279710.5,11101644684.0,191032498513.5,404155778224.0
HD현대마린엔진,2023,071970,31019121952.5,240377803665.5,226481540117.0,17241665038.0,223271671177.0,449753211294.0
